date,r&d,assets,liabilities,current_assets,current_liabilities,current_ratio
2020-09-30,6856.0,299243.0,86323.0,164.37,48.2,3.41
2020-06-30,6875.0,278492.0,71170.0,149.07,43.66,3.41
2020-03-31,6820.0,273403.0,69744.0,147.02,40.19,3.66
2019-12-31,7222.0,275909.0,74467.0,152.58,45.22,3.37
2019-09-30,6554.0,263044.0,68075.0,148.36,39.22,3.78
2019-06-30,6213.0,257101.0,64909.0,147.44,37.0,3.99
2019-03-31,6029.0,245349.0,61877.0,138.21,34.91,3.96
2018-12-31,6034.0,232792.0,55164.0,135.68,34.62,3.92
2018-09-30,5232.0,221538.0,51698.0,129.7,31.3,4.14
2018-06-30,5114.0,211610.0,49610.0,124.16,29.9,4.15
2018-03-31,5039.0,206935.0,46110.0,123.76,25.39,4.87
2017-12-31,4306.0,197295.0,44793.0,124.31,24.18,5.14
2017-09-30,4205.0,189536.0,32436.0,119.35,20.69,5.77
2017-06-30,4172.0,178621.0,30335.0,112.39,18.69,6.02
2017-03-31,3942.0,172756.0,27807.0,108.79,15.26,7.13
2016-12-31,3622.0,167497.0,28461.0,105.41,16.76,6.29
2016-09-30,3596.0,159948.0,25845.0,98.55,14.32,6.88
2016-06-30,3363.0,154292.0,26413.0,94.24,17.34,5.43
2016-03-31,3367.0,149747.0,26178.0,90.96,17.68,5.14
2015-12-31,3510.0,147461.0,27130.0,90.11,19.31,4.67
2015-09-30,3230.0,144281.0,28040.0,88.1,18.46,4.77
2015-06-30,2789.0,138807.0,27024.0,84.16,17.36,4.85
2015-03-31,2753.0,133400.0,24952.0,80.31,14.34,5.60
2014-12-31,2813.0,129187.0,25327.0,78.66,16.78,4.69
2014-09-30,2655.0,125781.0,26966.0,80.12,17.92,4.47
2014-06-30,2238.0,121608.0,25859.0,77.91,17.1,4.56
2014-03-31,2126.0,116526.0,24815.0,75.31,16.27,4.63
2013-12-31,1933.0,110920.0,23611.0,72.89,15.91,4.58
2013-09-30,1821.0,105068.0,22079.0,68.86,14.48,4.76
2013-06-30,1766.0,101182.0,22330.0,66.86,15.33,4.36
2013-03-31,1617.0,96692.0,21219.0,62.81,13.25,4.74
2012-12-31,1225.0,93798.0,22083.0,60.45,14.34,4.22
2012-09-30,1879.0,89730.0,21702.0,56.82,14.43,3.94
2012-06-30,1538.0,86051.0,21330.0,53.86,14.03,3.84
2012-03-31,1441.0,77144.0,15432.0,56.86,9.74,5.84
2011-12-31,1298.0,72574.0,14429.0,52.76,8.91,5.92
2011-09-30,1404.0,69088.0,14258.0,50.04,8.89,5.63
2011-06-30,1234.0,64861.0,12870.0,46.44,7.8,5.96
2011-03-31,1226.0,59960.0,11109.0,43.31,9.33,4.64
2010-12-31,1052.0,57851.0,11610.0,41.56,10.0,4.16
2010-09-30,994.0,53342.0,10052.0,39.45,8.53,4.63
2010-06-30,898.0,48045.0,7432.0,35.16,5.75,6.12
2010-03-31,818.0,42871.0,4588.0,31.13,2.92,10.65
2009-12-31,735.0,40497.0,4493.0,29.17,2.75,10.62
2009-09-30,758.0,37703.0,3981.0,26.35,2.32,11.35
2009-06-30,708.0,35159.0,3564.0,23.84,2.0,11.91
2009-03-31,642.0,33513.0,3665.0,22.08,2.18,10.11
2008-12-31,733.0,31768.0,3529.0,20.18,2.3,8.77
2008-09-30,705.0,30807.0,3332.0,17.96,2.22,8.08
2008-06-30,682.0,29180.0,3267.0,16.32,2.35,6.96
2008-03-31,673.0,27605.0,3267.0,15.47,2.46,6.29
2007-12-31,631.0,25336.0,2646.0,17.29,2.04,8.49
2007-09-30,549.0,23341.0,2304.0,15.73,1.78,8.83
2007-06-30,532.0,21424.0,1764.0,14.86,1.32,11.26
2007-03-31,408.0,20015.0,1638.0,14.08,1.25,11.23
2006-12-31,387.0,18473.0,1434.0,13.04,1.31,10.00
2006-09-30,313.0,15693.0,1296.0,11.86,1.22,9.75
2006-06-30,283.0,14396.0,1039.0,11.06,0.98,11.31
2006-03-31,247.0,11295.0,1052.0,9.56,0.98,9.75
2005-12-31,190.0,10272.0,853.0,9.0,0.75,12.08
2005-09-30,178.0,9451.0,658.0,8.38,0.56,14.97
2005-06-30,123.0,4498.0,544.0,3.65,0.45,8.14
2005-03-31,109.0,3865.0,438.0,3.16,0.39,8.03
